athlete_full_name,athlete_url,sex,height,weight,NOC,NOC_code
Yoshihiro KITAZAWA,https://olympics.com/en/athletes/yoshihiro-kitazawa,Male,168 cm,61 kg,Japan,JPN
Jan-Ake Thomas CARLBERG,https://olympics.com/en/athletes/jan-ake-thomas-carlberg,Male,187 cm,80 kg,Sweden,SWE
Giorgio PAGANIN,https://olympics.com/en/athletes/giorgio-paganin,Male,179 cm,75 kg,Italy,ITA
Dezideriu Szillard JENEI,https://olympics.com/en/athletes/dezideriu-szillard-jenei,Male,174 cm,72 kg,Romania,ROU
Song-Hi KIM,https://olympics.com/en/athletes/song-hi-kim,Male,,,Democratic People's Republic of Korea,PRK
Zhi-Wu GAI,https://olympics.com/en/athletes/zhi-wu-gai,Male,167 cm,61 kg,The Gambia,GAM
Nenad ZVANUT,https://olympics.com/en/athletes/nenad-zvanut,Male,172 cm,78 kg,Yugoslavia,YUG
Fei-Fan WANG,https://olympics.com/en/athletes/fei-fan-wang,Female,170 cm,55 kg,People's Republic of China,CHN
Erroll Claude FRASER,https://olympics.com/en/athletes/erroll-claude-fraser,Male,,,British Virgin Islands,IVB
Mei-Yu KONG,https://olympics.com/en/athletes/mei-yu-kong,Male,,,People's Republic of China,CHN
Natalia KUROVA,https://olympics.com/en/athletes/natalia-kurova,Female,172 cm,66 kg,Soviet Union,URS
Chang Hae KIM,https://olympics.com/en/athletes/chang-hae-kim,Female,163 cm,65 kg,Argentina,ARG
Gui-Fang WANG,https://olympics.com/en/athletes/gui-fang-wang,Female,168 cm,52 kg,Brazil,BRA
Olga PLESHKOVA,https://olympics.com/en/athletes/olga-pleshkova,Female,168 cm,56 kg,Soviet Union,URS
Henry NILSEN,https://olympics.com/en/athletes/henry-nilsen,Male,183 cm,72 kg,Norway,NOR
Yep KRAMER,https://olympics.com/en/athletes/yep-kramer,,,,,
Konstantine KOROTKOV,https://olympics.com/en/athletes/konstantine-korotkov,Male,196 cm,116 kg,Ukraine,UKR
Vladimir KOSLOV,https://olympics.com/en/athletes/vladimir-koslov-1,Male,164 cm,63 kg,Soviet Union,URS
Yasushi SUZUKI,https://olympics.com/en/athletes/yasushi-suzuki,Male,173 cm,70 kg,Japan,JPN
Geert KUIPER,https://olympics.com/en/athletes/geert-kuiper,Male,186 cm,76 kg,Netherlands,NED
Nian-Chun WANG,https://olympics.com/en/athletes/nian-chun-wang,Female,168 cm,61 kg,People's Republic of China,CHN
Stefan STANNARIUS,https://olympics.com/en/athletes/stefan-stannarius,Male,181 cm,71 kg,East Germany,GDR
Rolf Aage BERG,https://olympics.com/en/athletes/rolf-aage-berg,Male,180 cm,72 kg,Norway,NOR
Jeffrey HASTINGS,https://olympics.com/en/athletes/jeffrey-hastings,Male,173 cm,66 kg,United States,USA
Pentti KOKKONEN,https://olympics.com/en/athletes/pentti-kokkonen,Male,170 cm,68 kg,Finland,FIN
Klaus OSTWALD,https://olympics.com/en/athletes/klaus-ostwald,Male,175 cm,64 kg,East Germany,GDR
Gérard COLIN,https://olympics.com/en/athletes/gerard-colin,Male,167 cm,61 kg,France,FRA
Massimo RIGONI,https://olympics.com/en/athletes/massimo-rigoni,Male,174 cm,74 kg,Italy,ITA
Vasja BAJC,https://olympics.com/en/athletes/vasja-bajc,Male,193 cm,82 kg,Yugoslavia,YUG
Steinar BRAATEN,https://olympics.com/en/athletes/steinar-braaten,Male,181 cm,68 kg,Norway,NOR
Lido TOMASI,https://olympics.com/en/athletes/lido-tomasi,Male,176 cm,69 kg,Italy,ITA
Guennadi PROKOPENKO,https://olympics.com/en/athletes/guennadi-prokopenko,Male,180 cm,71 kg,Soviet Union,URS
Markku PUSENIUS,https://olympics.com/en/athletes/markku-pusenius,Male,182 cm,68 kg,Finland,FIN
Hans WALLNER,https://olympics.com/en/athletes/hans-wallner,Male,174 cm,64 kg,Austria,AUT
Georg WALDVOGEL,https://olympics.com/en/athletes/georg-waldvogel,Male,176 cm,70 kg,West Germany,FRG
Landis ARNOLD,https://olympics.com/en/athletes/landis-arnold,Male,180 cm,77 kg,United States,USA
Hansjörg SUMI,https://olympics.com/en/athletes/hansjorg-sumi,Male,164 cm,56 kg,Switzerland,SUI
Janusz MALIK,https://olympics.com/en/athletes/janusz-malik,Male,170 cm,72 kg,Poland,POL
Holger FREITAG,https://olympics.com/en/athletes/holger-freitag,Male,173 cm,63 kg,East Germany,GDR
Satoru MATSUHASHI,https://olympics.com/en/athletes/satoru-matsuhashi,Male,169 cm,66 kg,Japan,JPN
Bojan GLOBOCNIK,https://olympics.com/en/athletes/bojan-globocnik,Male,175 cm,67 kg,Yugoslavia,YUG
Vladimir PODZIMEK,https://olympics.com/en/athletes/vladimir-podzimek,Male,176 cm,62 kg,Czechoslovakia,TCH
Valentin BOJITCHKOV,https://olympics.com/en/athletes/valentin-bojitchkov,Male,182 cm,75 kg,Soviet Union,URS
Anghel STOYANOV,https://olympics.com/en/athletes/anghel-stoyanov,Male,176 cm,72 kg,Romania,ROU
Hiroo SHIMA,https://olympics.com/en/athletes/hiroo-shima,Male,170 cm,59 kg,Japan,JPN
Per BERGERUD,https://olympics.com/en/athletes/per-bergerud,Male,183 cm,73 kg,Norway,NOR
David BROWN,https://olympics.com/en/athletes/david-brown,Male,,,Canada,CAN
Armin KOGLER,https://olympics.com/en/athletes/armin-kogler,Male,178 cm,73 kg,Austria,AUT
Hirokazu YAGI,https://olympics.com/en/athletes/hirokazu-yagi,Male,167 cm,60 kg,Japan,JPN
Marinello José RIVERA,https://olympics.com/en/athletes/marinello-jose-rivera,Male,171 cm,67 kg,Spain,ESP
Tomaz DOLAR,https://olympics.com/en/athletes/tomaz-dolar,Male,173 cm,58 kg,Yugoslavia,YUG
Angel JANIQUET-TAMBURINI,https://olympics.com/en/athletes/angel-janiquet-tamburini,Male,,,Spain,ESP
Mathias BUSE,https://olympics.com/en/athletes/mathias-buse,Male,182 cm,76 kg,Peru,PER
Reed ZUEHLKE,https://olympics.com/en/athletes/reed-zuehlke,Male,178 cm,72 kg,United States,USA
Manfred STEINER,https://olympics.com/en/athletes/manfred-steiner,Male,,,Austria,AUT
Nikolay ZIMYATOV,https://olympics.com/en/athletes/nikolay-zimyatov,Male,183 cm,68 kg,Soviet Union,URS
Aleksandr ZAVYALOV,https://olympics.com/en/athletes/aleksandr-zavyalov,Male,174 cm,69 kg,Soviet Union,URS
Lars Erik ERIKSEN,https://olympics.com/en/athletes/lars-erik-eriksen,Male,190 cm,75 kg,Norway,NOR
Juha MIETO,https://olympics.com/en/athletes/juha-mieto,Male,197 cm,100 kg,Finland,FIN
Jan Petter LINDVALL,https://olympics.com/en/athletes/jan-petter-lindvall,Male,182 cm,74 kg,Norway,NOR
Uwe WÜNSCH,https://olympics.com/en/athletes/uwe-wunsch,Male,178 cm,72 kg,East Germany,GDR
Milos BECVAR,https://olympics.com/en/athletes/milos-becvar,Male,178 cm,67 kg,Czechoslovakia,TCH
Giulio CAPITANIO,https://olympics.com/en/athletes/giulio-capitanio,Male,180 cm,70 kg,Italy,ITA
Karsten BRANDT,https://olympics.com/en/athletes/karsten-brandt,Male,185 cm,75 kg,East Germany,GDR
